OBB TH code,OBB TH name,OBB TH type,OBB latitude,OBB longitude,ACR TH code,ACR TH name,ACR TH type,PRESENT ON AMR DEMO?,STH country,ACR TH country,ACR_Station Mapped same country?
8302686,Sampieri,railway,"36,731905","14,744602",8397238,SAMPIERI,railway,,IT,IT,
8302642,Pozzallo,railway,"36,733606","14,84717",8312420,Pozzallo,railway,,IT,IT,
8302562,Ispica,railway,"36,778039","14,914364",8312421,Ispica,railway,,IT,IT,
8302695,Scicli,railway,"36,79009","14,699187",8354861,SCICLI,railway,,IT,IT,
8302660,Rosolini,railway,"36,815955","14,95284",8306530,Rosolini,railway,,IT,IT,
8300462,Modica,railway,"36,852948","14,754165",8300695,Modica,railway,,IT,IT,
8302530,Donnafugata,railway,"36,882183","14,568814",8370443,DONNAFUGATA,railway,,IT,IT,
8302609,Noto,railway,"36,882502","15,074304",8300719,Noto,railway,,IT,IT,
8302461,Avola,railway,"36,907585","15,125762",8311502,AVOLA,railway,,IT,IT,
8300336,Ragusa,railway,"36,919209","14,725431",8300771,Ragusa,railway,,IT,IT,
8302524,Comiso,railway,"36,947285","14,600543",8300697,Comiso,railway,,IT,IT,
8300491,Vittoria,railway,"36,958763","14,524962",8300764,Vittoria,railway,,IT,IT,
8312023,Fontane Bianche,railway,"36,975043","15,207492",8340887,FONTANE BIANCHE,railway,,IT,IT,
8302445,Acate,railway,"36,99665","14,425427",8395901,ACATE,railway,,IT,IT,
8300338,Siracusa,railway,"37,068903","15,281735",8300773,Siracusa,railway,,IT,IT,
8300310,Gela,railway,"37,072991","14,259255",8300728,Gela,railway,,IT,IT,
8300380,Licata,railway,"37,105984","13,938282",8300696,Licata,railway,,IT,IT,
8300423,Niscemi,railway,"37,144989","14,403506",8319616,NISCEMI,railway,,IT,IT,
8302432,Priolo-Melilli,railway,"37,157833","15,197074",8300675,Priolo-Melilli,railway,,IT,IT,
8300409,Grammichele,railway,"37,205357","14,639547",8303132,Grammichele,railway,,IT,IT,
8300399,Caltagirone,railway,"37,224842","14,526965",8300767,Caltagirone,railway,,IT,IT,
8300301,Augusta,railway,"37,243389","15,21896",8300706,Augusta,railway,,IT,IT,
8302584,Militello,railway,"37,275371","14,779841",8312276,Militello,railway,,IT,IT,
8302696,Scordia,railway,"37,290924","14,848027",8332946,SCORDIA,railway,,IT,IT,
8300313,Lentini,railway,"37,300964","14,997544",8300731,Lentini,railway,,IT,IT,
8300296,Agrigento Centrale,railway,"37,309059","13,584422",8300700,AGRIGENTO CENTRALE,railway,,IT,IT,
8300305,Canicatti,railway,"37,359924","13,855409",8300713,Canicatti,railway,,IT,IT,
8300300,Aragona-Caldare,railway,"37,381058","13,636863",8300705,ARAGONA-CALDARE,railway,,IT,IT,
8300528,Racalmuto,railway,"37,405903","13,727629",8300090,Racalmuto,railway,,IT,IT,
8300527,Grotte,railway,"37,409841","13,702701",8300089,Grotte,railway,,IT,IT,
8300529,Serradifalco,railway,"37,431492","13,882823",8300091,Serradifalco,railway,,IT,IT,
8300303,Caltanissetta Centrale,railway,"37,488222","14,057389",8300711,CALTANISSETTA CENTRALE,railway,,IT,IT,
8301040,Catania Acquicella,railway,"37,492772","15,074659",8300721,CATANIA ACQUICELLA,railway,,IT,IT,
8300307,Catania Centrale,railway,"37,506572","15,100162",8300722,CATANIA CLE,railway,,IT,IT,
8300577,Campofranco,railway,"37,510042","13,686755",8300810,Campofranco,railway,,IT,IT,
8301041,Catania Ognina,railway,"37,534233","15,11273",8300723,CATANIA OGNINA,railway,,IT,IT,
8300304,Caltanissetta Xirbi,railway,"37,536282","14,0569",8300712,CALTANISSETTA XIRBI,railway,,IT,IT,
8301397,Cannizzaro,railway,"37,547057","15,129653",8353814,CANNIZZARO,railway,,IT,IT,
8300314,Catenanuova-Centuripe,railway,"37,561642","14,688996",8300661,CATENANUOVA-CENTURIPE,railway,,IT,IT,
8300053,Dittaino,railway,"37,566152","14,457287",8300128,Dittaino,railway,,IT,IT,
8300489,Villarosa,railway,"37,567143","14,200636",8300126,Villarosa,railway,,IT,IT,
8300849,Acquaviva-Casteltermini,railway,"37,570418","13,674802",8300663,ACQUAVIVA-CASTELTERMINI,railway,,IT,IT,
8300326,Enna,railway,"37,581098","14,289684",8300755,Enna,railway,,IT,IT,
8300297,Acireale,railway,"37,595784","15,161736",8300701,Acireale,railway,,IT,IT,
8300052,Leonforte-Pirato,railway,"37,606523","14,376127",8385510,LEONFORTE-PIRATO,railway,,IT,IT,
8302484,Campobello di Mazara,railway,"37,636267","12,733174",8300808,CAMPOBELLO DI MAZARA,railway,,IT,IT,
8300319,Mazara del Vallo,railway,"37,652725","12,594525",8300737,MAZARA DEL VALLO,railway,,IT,IT,
8300847,Villalba,railway,"37,668056","13,88577",8357974,VILLALBA,railway,,IT,IT,
8300295,Castelvetrano,railway,"37,683669","12,798891",8300698,Castelvetrano,railway,,IT,IT,
8301455,Carruba,railway,"37,689024","15,191398",8327096,CARRUBA,railway,,IT,IT,
8300387,Vallelunga,railway,"37,691461","13,846783",8367483,VALLELUNGA,railway,,IT,IT,
8300848,Valledolmo,railway,"37,71755","13,719874",8355014,VALLEDOLMO,railway,,IT,IT,
8302710,Terrenove,railway,"37,748311","12,481191",8300852,Terrenove,railway,,IT,IT,
8301092,Mascali,railway,"37,755179","15,190213",8303816,Mascali,railway,,IT,IT,
8300324,Roccapalumba-Alia,railway,"37,793322","13,673296",8300753,ROCCAPALUMBA-ALIA,railway,,IT,IT,
8300318,Marsala,railway,"37,793536","12,443124",8300736,Marsala,railway,,IT,IT,
8300841,Fiumefreddo Sicilia,railway,"37,795187","15,205652",8316406,FIUMEFREDDO SICILIA,railway,,IT,IT,
8301443,Calatabiano,railway,"37,814394","15,225867",8309817,CALATABIANO,railway,,IT,IT,
8301111,Alcantara,railway,"37,82145","15,251151",8369686,ALCANTARA,railway,,IT,IT,
8302704,Spagnuola,railway,"37,836298","12,477028",8300851,Spagnuola,railway,,IT,IT,
8300339,Taormina-Giardini,railway,"37,845442","15,282637",8300774,TAORMINA-GIARDINI,railway,,IT,IT,
8301700,Montemaggiore Belsito,railway,"37,858339","13,69216",8304776,MONTEMAGGIORE BELSITO,railway,,IT,IT,
8301625,Letojanni,railway,"37,87747","15,303049",8346005,LETOJANNI,railway,,IT,IT,
8300334,Melito di Porto Salvo,railway,"37,916868","15,781463",8300769,MELITO DI PORTO SALVO,railway,,IT,IT,
8301907,Palizzi,railway,"37,918857","15,986467",8305162,Palizzi,railway,,IT,IT,
8300837,Capo Spartivento,railway,"37,924767","16,058373",8311858,CAPO SPARTIVENTO,railway,,IT,IT,
8302577,Marausa,railway,"37,926468","12,504147",8300828,Marausa,railway,,IT,IT,
8300839,Condofuri,railway,"37,927818","15,874873",8302108,Condofuri,railway,,IT,IT,
8300838,Bova Marina,railway,"37,930468","15,924071",8300908,BOVA MARINA,railway,,IT,IT,
8300438,S.Teresa di Riva,railway,"37,946283","15,36765",8300797,S. TERESA DI RIVA,railway,,IT,IT,
8301494,Cerda,railway,"37,953951","13,784465",8345889,CERDA,railway,,IT,IT,
8301535,Furci,railway,"37,963029","15,382074",8304333,FURCI,railway,,IT,IT,
8300836,Brancaleone,railway,"37,965488","16,103273",8300710,Brancaleone,railway,,IT,IT,
8300844,Fiumetorto,railway,"37,966754","13,77428",8300727,Fiumetorto,railway,,IT,IT,
8302017,Roccalumera-Mandanici,railway,"37,973104","15,391475",8367776,ROCCALUMERA-MANDANICI,railway,,IT,IT,
8300299,Alcamo Diramazione,railway,"37,978939","12,915874",8300703,ALCAMO DIRAMAZIONE,railway,,IT,IT,
8300330,Termini Imerese,railway,"37,979687","13,703841",8300761,TERMINI IMERESE,railway,,IT,IT,
8300840,Nizza di Sicilia,railway,"37,986144","15,404333",8382144,NIZZA DI SICILIA,railway,,IT,IT,
8302613,Paceco,railway,"37,991419","12,550817",8300831,Paceco,railway,,IT,IT,
8301336,Campofelice,railway,"37,992635","13,876863",8360079,CAMPOFELICE,railway,,IT,IT,
8302236,Trabia,railway,"37,99658","13,654777",8308052,Trabia,railway,,IT,IT,
8300493,Ali Terme,railway,"38,005156","15,423587",8300704,ALI TERME,railway,,IT,IT,
8302287,Tusa,railway,"38,007868","14,256777",8341696,TUSA,railway,,IT,IT,
8301305,Castelbuono,railway,"38,01437","14,108961",8331201,CASTELBUONO,railway,,IT,IT,
8300835,Ferruzzano,railway,"38,016359","16,134316",8316912,FERRUZZANO,railway,,IT,IT,
8300340,Trapani,railway,"38,017278","12,519308",8300775,Trapani,railway,,IT,IT,
8300308,Cefalu,railway,"38,032679","14,01985",8300724,Cefalu,railway,,IT,IT,
8302088,Scaletta Zanclea,railway,"38,046394","15,465432",8307248,Scaletta Zanclea,railway,,IT,IT,
8301135,Altavilla Milicia,railway,"38,048287","13,554403",8332794,ALTAVILLA MILICIA,railway,,IT,IT,
8300834,Africo Nuovo,railway,"38,052707","16,143921",8371679,AFRICO NUOVO,railway,,IT,IT,
8300351,Balestrate,railway,"38,053352","13,007364",8300805,Balestrate,railway,,IT,IT,
8300353,Partinico,railway,"38,058668","13,109076",8300833,Partinico,railway,,IT,IT,
8313704,Reggio Calabria Aeroporto,railway,"38,059401","15,651329",8391979,REGGIO CALABRIA AEROPORTO,railway,,IT,IT,
8301276,Casteldaccia,railway,"38,060202","13,53726",8363601,CASTELDACCIA,railway,,IT,IT,
8301566,Giampilieri,railway,"38,06364","15,479585",8362725,GIAMPILIERI,railway,,IT,IT,
8302715,Trappeto,railway,"38,065111","13,036909",8300854,Trappeto,railway,,IT,IT,
8300431,S.Agata di Militello,railway,"38,07334","14,640813",8300756,S. AGATA DI MILITELLO,railway,,IT,IT,
8312035,Ficarazzi,railway,"38,086554","13,463249",8396798,FICARAZZI,railway,,IT,IT,
8300833,Bianco,railway,"38,088912","16,153351",8309688,Bianco,railway,,IT,IT,
8300360,Bagheria,railway,"38,089801","13,507343",8300699,Bagheria,railway,,IT,IT,
8301049,Palermo Brancaccio,railway,"38,092972","13,392561",8300776,PALERMO BRANCACCIO,railway,,IT,IT,
8302725,Vespri,railway,"38,102581","13,361736",8301602,VESPRI,railway,,IT,IT,
8303930,Palazzo Reale-Orleans,railway,"38,108925","13,354073",8386145,PALAZZO REALE-ORLEANS,railway,,IT,IT,
8301055,Zappulla,railway,"38,116924","14,703218",8300799,Zappulla,railway,,IT,IT,
8301499,Falcone,railway,"38,119578","15,080461",8312038,Falcone,railway,,IT,IT,
8301808,Novara-Montalbano-Furnari,railway,"38,121676","15,130575",8387268,NOVARA-MONTALBANO-FURNARI,railway,,IT,IT,
8312003,Mili Marina,railway,"38,123775","15,517676",8329534,MILI MARINA,railway,,IT,IT,
8301843,Oliveri-Tindari,railway,"38,128355","15,056571",8379858,OLIVERI-TINDARI,railway,,IT,IT,
8300511,Palermo Notarbartolo,railway,"38,132311","13,341493",8300778,PALERMO NOTARBARTOLO,railway,,IT,IT,
8302551,Giachery,railway,"38,135241","13,358069",8351333,GIACHERY,railway,,IT,IT,
8302281,Tremestieri,railway,"38,138197","15,526997",8390899,TREMESTIERI,railway,,IT,IT,
8302533,Imperatore Federico,railway,"38,145249","13,349109",8333828,IMPERATORE FEDERICO,railway,,IT,IT,
8300322,Patti-S. Piero Patti,railway,"38,14689","14,975483",8300741,PATTI S. PIERO PATTI,railway,,IT,IT,
8302498,Carini,railway,"38,147707","13,186636",8300812,Carini,railway,,IT,IT,
8300832,Bovalino,railway,"38,149121","16,180628",8300709,Bovalino,railway,,IT,IT,
8302958,Contesse,railway,"38,150826","15,535875",8320123,CONTESSE,railway,,IT,IT,
8300302,Barcellona-Castroreale,railway,"38,15473","15,201007",8330297,BARCELLONA-CASTROREALE,railway,,IT,IT,
8302519,Cinisi-Terrasini,railway,"38,15553","13,096757",8300815,CINISI-TERRASINI,railway,,IT,IT,
8300306,Capo d'Orlando-Naso,railway,"38,157683","14,744509",8300714,CAPO D'ORLANDO-NASO,railway,,IT,IT,
8301201,Brolo-Ficarra,railway,"38,159077","14,83023",8330972,BROLO-FICARRA,railway,,IT,IT,
8302494,Capaci,railway,"38,171779","13,232461",8300811,Capaci,railway,,IT,IT,
8302734,Piraineto,railway,"38,171982","13,141147",8318426,PIRAINETO,railway,,IT,IT,
8301120,Ardore,railway,"38,175774","16,207256",8309304,Ardore,railway,,IT,IT,
8300332,Messina Centrale,railway,"38,184542","15,561795",8300766,MESSINA CENTRALE,railway,,IT,IT,
8300331,Messina Marittima,railway,"38,187512","15,563755",8300765,MESSINA MARITTIMA,railway,,IT,IT,
8302560,Isola delle Femmine,railway,"38,194722","13,250263",8395629,ISOLA DELLE FEMMINE,railway,,IT,IT,
8300321,Milazzo,railway,"38,197845","15,258095",8300739,Milazzo,railway,,IT,IT,
8301876,Pace del Mela,railway,"38,202258","15,312705",8364419,PACE DEL MELA,railway,,IT,IT,
8312061,Torregrotta,railway,"38,206709","15,352108",8357391,TORREGROTTA,railway,,IT,IT,
8312054,Spadafora,railway,"38,219496","15,383514",8330120,SPADAFORA,railway,,IT,IT,
8300316,Locri,railway,"38,233324","16,26462",8300734,Locri,railway,,IT,IT,
8302370,Villafranca Tirrena,railway,"38,233523","15,428966",8369625,VILLAFRANCA TIRRENA,railway,,IT,IT,
8300440,Scilla,railway,"38,251457","15,710981",8300791,Scilla,railway,,IT,IT,
8301065,Favazzina,railway,"38,258629","15,756207",8300823,Favazzina,railway,,IT,IT,
8300831,Siderno,railway,"38,270854","16,301897",8300782,Siderno,railway,,IT,IT,
8300348,Bagnara,railway,"38,282673","15,80043",8300794,Bagnara,railway,,IT,IT,
8300325,Roccella Jonica,railway,"38,322179","16,406763",8300754,ROCCELLA JONICA,railway,,IT,IT,
8300830,Caulonia,railway,"38,343793","16,467241",8300680,Caulonia,railway,,IT,IT,
8300853,Palmi,railway,"38,364989","15,844417",8300720,Palmi,railway,,IT,IT,
8300344,Gioia Tauro,railway,"38,423409","15,897367",8300787,GIOIA TAURO,railway,,IT,IT,
8300871,Monasterace-Stilo,railway,"38,437546","16,574637",8300685,MONASTERACE-STILO,railway,,IT,IT,
8300828,Guardavalle,railway,"38,480251","16,579074",8300682,Guardavalle,railway,,IT,IT,
8300430,Rosarno,railway,"38,488722","15,9702",8300786,Rosarno,railway,,IT,IT,
8300349,Nicotera,railway,"38,549607","15,933743",8300795,Nicotera,railway,,IT,IT,
8301030,Badolato,railway,"38,572147","16,567731",8300678,Badolato,railway,,IT,IT,
8301053,Mileto,railway,"38,577358","16,059911",8300785,Mileto,railway,,IT,IT,
8301066,Joppolo,railway,"38,58077","15,897142",8300826,Joppolo,railway,,IT,IT,
8300576,Tropea,railway,"38,672223","15,894339",8300792,Tropea,railway,,IT,IT,
8301070,Parghelia,railway,"38,683529","15,925335",8300832,Parghelia,railway,,IT,IT,
8300486,Soverato,railway,"38,684472","16,549559",8300656,Soverato,railway,,IT,IT,
8301054,Zambrone,railway,"38,71281","15,976115",8395727,ZAMBRONE,railway,,IT,IT,
8300357,Vibo Marina,railway,"38,713782","16,12019",8300763,VIBO MARINA,railway,,IT,IT,
8300346,Vibo Valentia Pizzo,railway,"38,715195","16,139981",8300789,VIBO VALENTIA PIZZO,railway,,IT,IT,
8300862,Briatico,railway,"38,725681","16,025487",8300806,Briatico,railway,,IT,IT,
8301733,Montepaone-Montauro,railway,"38,728764","16,541935",8382614,MONTEPAONE-MONTAURO,railway,,IT,IT,
8301064,Eccellente,railway,"38,810376","16,232802",8300820,Eccellente,railway,,IT,IT,
8300312,Catanzaro Lido,railway,"38,822454","16,613649",8300732,CATANZARO LIDO,railway,,IT,IT,
8300315,Catanzaro,railway,"38,896129","16,599355",8300733,Catanzaro,railway,,IT,IT,
8300328,Lamezia Terme Centrale,railway,"38,921163","16,256022",8300758,LAMEZIA TERME CENTRALE,railway,,IT,IT,
8300826,Cropani,railway,"38,922143","16,813494",8300890,Cropani,railway,,IT,IT,
8300825,Botricello,railway,"38,934057","16,857579",8300889,Botricello,railway,,IT,IT,
8300824,Cutro,railway,"39,02556","16,962934",8300888,Cutro,railway,,IT,IT,
8300309,Crotone,railway,"39,084077","17,107823",8300726,Crotone,railway,,IT,IT,
8300347,Amantea,railway,"39,134796","16,068251",8300793,Amantea,railway,,IT,IT,
8300039,Cagliari,railway,"39,216101","9,108037",8300099,Cagliari,railway,,IT,IT,
8302170,Strongoli,railway,"39,22809","17,1081",8300893,Strongoli,railway,,IT,IT,
8312809,Assemini Carmine,railway,"39,281736","9,014033",8361779,ASSEMINI CARMINE,railway,,IT,IT,
8301163,Assemini,railway,"39,287382","8,998982",8341720,ASSEMINI,railway,,IT,IT,
8312808,Assemini Santa Lucia,railway,"39,291009","8,989383",8390420,ASSEMINI SANTA LUCIA,railway,,IT,IT,
8300944,Villamassargia-Domusnovas,railway,"39,294563","8,642776",8300072,VILLAMASSARGIA-DOMUSNOVAS,railway,,IT,IT,
8302129,Siliqua,railway,"39,296783","8,813567",8341369,SILIQUA,railway,,IT,IT,
8302344,Villaspeciosa-Uta,railway,"39,304193","8,940715",8327890,VILLASPECIOSA-UTA,railway,,IT,IT,
8302260,Torre Melissa,railway,"39,30435","17,10843",8300894,Torre Melissa,railway,,IT,IT,
8300376,Decimomannu,railway,"39,30455","8,965964",8302282,Decimomannu,railway,,IT,IT,
8300948,Iglesias,railway,"39,310825","8,539203",8300097,Iglesias,railway,,IT,IT,
8300575,Cosenza,railway,"39,318983","16,260505",8300744,Cosenza,railway,,IT,IT,
8302439,Castiglione Cosentino,railway,"39,355545","16,243971",8300716,CASTIGLIONE COSENTINO,railway,,IT,IT,
8300335,Paola,railway,"39,358996","16,033851",8300770,Paola,railway,,IT,IT,
8301028,Ciro,railway,"39,368732","17,116896",8300644,Ciro,railway,,IT,IT,
8302332,Villasor,railway,"39,381428","8,93596",8310260,VILLASOR,railway,,IT,IT,
8301536,Fuscaldo,railway,"39,409267","16,011509",8341275,FUSCALDO,railway,,IT,IT,
8302165,Serramanna-Nuraminis,railway,"39,426093","8,916599",8338189,SERRAMANNA-NURAMINIS,railway,,IT,IT,
8300823,Crucoli,railway,"39,449461","17,040658",8300895,Crucoli,railway,,IT,IT,
8302130,Samassi-Serrenti,railway,"39,482953","8,899072",8394702,SAMASSI-SERRENTI,railway,,IT,IT,
8301148,Acquappesa,railway,"39,486439","15,955966",8336193,ACQUAPPESA,railway,,IT,IT,
8302714,Torano-Lattarico,railway,"39,494806","16,210588",8309893,TORANO-LATTARICO,railway,,IT,IT,
8300289,Cariati,railway,"39,496725","16,951974",8300642,Cariati,railway,,IT,IT,
8301495,Cetraro,railway,"39,505305","15,945162",8346905,CETRARO,railway,,IT,IT,
8300480,San Gavino,railway,"39,557882","8,800881",8307112,San Gavino,railway,,IT,IT,
8301300,Capo Bonifati,railway,"39,558418","15,873809",8362719,CAPO BONIFATI,railway,,IT,IT,
8301418,Calopezzati,railway,"39,578997","16,819205",8300896,Calopezzati,railway,,IT,IT,
8300290,Rossano,railway,"39,602834","16,6408",8300653,Rossano,railway,,IT,IT,
8301679,Mirto-Crosia,railway,"39,604714","16,777299",8300897,Mirto-Crosia,railway,,IT,IT,
8301851,Pabillonis,railway,"39,610891","8,740961",8316931,PABILLONIS,railway,,IT,IT,
