ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		DE		Berstadt-Bahnhof Wö	Berstadt-Bahnhof Wö				000000N	29	000000E					112413	UIC
	CET		1		DE		Bahnhof Philippsbur	Bahnhof Philippsbur				491355N	29	082712E					360175	UIC
	CET		1		DE		Rheinsheim Schule P	Rheinsheim Schule P				491357N	29	082435E					360468	UIC
	CET		1		DE		Siglinger Straße(SEV	Siglinger Straße(SEV				000000N	29	000000E					361091	UIC
	CET		1		DE		Gemmingen West	Gemmingen West				490916N	29	085839E					361582	UIC
	CET		1		DE		Schwaigern West	Schwaigern West				490916N	29	085839E					361583	UIC
	CET		1		DE		Helmsheim Bahnhof B	Helmsheim Bahnhof B				000000N	29	000000E					361835	UIC
	CET		1		DE		Bahnhof Rastatt	Bahnhof Rastatt				485138N	29	081255E					361844	UIC
	CET		1		DE		Burg Alzenau i. UFr	Burg Alzenau i. UFr				000000N	29	000000E					362132	UIC
	CET		1		DE		Durlach Bahnhof West	Durlach Bahnhof West				490006N	29	082745E					362612	UIC
	CET		1		DE		Bahnhof Mühlacker	Bahnhof Mühlacker				485710N	29	085045E					363010	UIC
	CET		1		DE		Achalmstraße Holzge	Achalmstraße Holzge				000000N	29	000000E					363244	UIC
	CET		1		DE		Enzisweiler Bahnhofs	Enzisweiler Bahnhofs				473351N	29	093955E					364189	UIC
	CET		1		DE		Herdstelle Ehningen	Herdstelle Ehningen				483938N	29	085710E					364751	UIC
	CET		1		DE		Kleinvillars Bahnhof	Kleinvillars Bahnhof				000000N	29	000000E					365083	UIC
	CET		1		DE		Haueneberstein Bahnh	Haueneberstein Bahnh				484724N	29	081128E					365110	UIC
	CET		1		DE		Bahnhof West Neckar	Bahnhof West Neckar				491436N	29	083907E					366038	UIC
	CET		1		DE		Busbahnhof Steig 5	Busbahnhof Steig 5				000000N	29	000000E					369155	UIC
	CET		1		DE		Bahnhof Mühlacker	Bahnhof Mühlacker				485710N	29	085045E					373010	UIC
	CET		1		DE		Bahnhof Gemmingen	Bahnhof Gemmingen				490904N	29	085909E					374811	UIC
	CET		1		DE		Forstamt Hinterweid	Forstamt Hinterweid				000000N	29	000000E					402811	UIC
	CET		1		DE		Kirche Hinterweiden	Kirche Hinterweiden				000000N	29	000000E					402812	UIC
	CET		1		DE		Bahnhof Offenau	Bahnhof Offenau				491446N	29	090954E					421043	UIC
	CET		1		DE		Edelfingen Süd Bad	Edelfingen Süd Bad				493047N	29	094435E					421559	UIC
	CET		1		DE		ZOB Niederstetten	ZOB Niederstetten				000000N	29	000000E					421586	UIC
	CET		1		DE		Bahnhof Thurnau	Bahnhof Thurnau				500635N	29	112706E					462860	UIC
	CET		1		DE		Kleinengstingen Rath	Kleinengstingen Rath				000000N	29	000000E					491571	UIC
	CET		1		DE		Sondernach Schelkli	Sondernach Schelkli				000000N	29	000000E					491745	UIC
	CET		1		DE		Hütten Schelklingen	Hütten Schelklingen				000000N	29	000000E					491747	UIC
	CET		1		DE		Teninger Straße Bah	Teninger Straße Bah				000000N	29	000000E					499622	UIC
	CET		1		DE		Saline Rottweil	Saline Rottweil				480856N	29	083844E					500901	UIC
	CET		1		DE		Deißlingen Mitte	Deißlingen Mitte				480518N	29	083507E					501194	UIC
	CET		1		DE		Fützen Ort Blumberg	Fützen Ort Blumberg				000000N	29	000000E					502514	UIC
	CET		1		DE		Epfenhofen Siedlung	Epfenhofen Siedlung				474915N	29	083252E					502515	UIC
	CET		1		DE		Randen Sonnenhof Bl	Randen Sonnenhof Bl				000000N	29	000000E					502517	UIC
	CET		1		DE		Randen Ort Blumberg	Randen Ort Blumberg				475517N	29	083910E					502518	UIC
	CET		1		DE		Randensteig Blumber	Randensteig Blumber				475002N	29	083346E					502519	UIC
	CET		1		DE		Baden-Brennet Basler	Baden-Brennet Basler				473451N	29	075438E					502840	UIC
	CET		1		DE		Waldshut Bahnhofsvor	Waldshut Bahnhofsvor				473716N	29	081309E					504657	UIC
	CET		1		DE		Ortsmitte Igersheim	Ortsmitte Igersheim				000000N	29	000000E					505677	UIC
	CET		1		DE		Bahnhof Bundenthal	Bahnhof Bundenthal				490608N	29	074822E					505742	UIC
	CET		1		DE		Bahnhof Dahn	Bahnhof Dahn				490916N	29	074616E					505809	UIC
	CET		1		DE		Stadtmitte Dahn	Stadtmitte Dahn				490859N	29	074645E					505814	UIC
	CET		1		DE		Bahnhof Hinterweide	Bahnhof Hinterweide				000000N	29	000000E					507119	UIC
	CET		1		DE		Reichenbach Bahnhof	Reichenbach Bahnhof				503739N	29	121732E					509158	UIC
	CET		1		DE		Alter Friedhof Bruc	Alter Friedhof Bruc				504330N	29	070411E					509365	UIC
	CET		1		DE		Im Erzfeld Graselle	Im Erzfeld Graselle				000000N	29	000000E					509964	UIC
	CET		1		DE		Otto-Muck-Straße Br	Otto-Muck-Straße Br				000000N	29	000000E					511008	UIC
	CET		1		DE		Zollhaus B27 Blumbe	Zollhaus B27 Blumbe				475020N	29	083317E					524975	UIC
	CET		1		DE		Bahnhof Neukirchen	Bahnhof Neukirchen				510515N	29	123200E					546049	UIC
	CET		1		DE		Otto-Hahn-Gymnasium	Otto-Hahn-Gymnasium				484050N	29	085955E					555680	UIC
	CET		1		DE		Mettingen Bahnhof E	Mettingen Bahnhof E				000000N	29	000000E					562198	UIC
	CET		1		DE		Anderten Hannover	Anderten Hannover				522209N	29	095139E					635114	UIC
	CET		1		DE		Wiedersbach Bahnhof	Wiedersbach Bahnhof				491745N	29	102633E					681774	UIC
	CET		1		DE		Wrixum West	Wrixum West				544159N	29	083249E					706387	UIC
	CET		1		DE		Nebel Klööwenhuuch	Nebel Klööwenhuuch				000000N	29	000000E					706472	UIC
	CET		1		DE		Heckershausen Mitte	Heckershausen Mitte				512149N	29	092329E					715537	UIC
	CET		1		DE		Spinnerei Ettlingen	Spinnerei Ettlingen				485545N	29	082702E					720478	UIC
	CET		1		DE		Huttenheim Kirche P	Huttenheim Kirche P				491148N	29	082757E					721217	UIC
	CET		1		DE		Huttenheim Philippsb	Huttenheim Philippsb				491355N	29	082712E					721218	UIC
	CET		1		DE		Steinbach Rebland B	Steinbach Rebland B				484402N	29	080849E					721653	UIC
	CET		1		DE		Neudorf Polizei Gra	Neudorf Polizei Gra				511821N	29	092700E					721862	UIC
	CET		1		DE		Messedamm/ZOB Berli	Messedamm/ZOB Berli				523026N	29	131650E					731089	UIC
	CET		1		DE		Winfriedstr. Berlin	Winfriedstr. Berlin				522616N	29	131612E					731493	UIC
	CET		1		DE		Rosenthaler Str. Be	Rosenthaler Str. Be				523113N	29	132313E					732838	UIC
	CET		1		DE		Pasewalker Str./Blan	Pasewalker Str./Blan				000000N	29	000000E					732840	UIC
	CET		1		DE		Bergfelde Schule Ho	Bergfelde Schule Ho				000000N	29	000000E					733814	UIC
	CET		1		DE		Schönfließ Kirche M	Schönfließ Kirche M				523921N	29	132020E					733816	UIC
	CET		1		DE		Hütten Bahnhof Sche	Hütten Bahnhof Sche				492920N	29	114631E					750386	UIC
	CET		1		DE		Rathaus Gomadingen	Rathaus Gomadingen				000000N	29	00000E					750748	UIC
	CET		1		DE		Kleinengstingen Frie	Kleinengstingen Frie				000000N	29	000000E					751069	UIC
