CITY_NAME	GENERIC_LOCATION_CODE	TIME_ZONE	STATUS_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DEFAULT_LONG_NAME	DEFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	ADDRESS	LATITUDE	LOCATION_TYPE_CODE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	PROVINCE_STATE_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	102932	CET	1	DE		Flughafen Terminal 1	Flughafen Terminal 1				500308N	29	083437E					NVS	102932	UIC
	8000920	CET	2	DE		Berstadt-Wohnbach	Berstadt-Wohnbach				502537N	29	085118E					NVS	8000920	UIC
	119645	CET	1	DE		Rathaus, Breitscheid	Rathaus, Breitscheid				504109N	29	081128E					NVS	119645	UIC
	126870	CET	1	DE		Kurhaus, Bad Schwalb	Kurhaus, Bad Schwalb				500823N	29	080403E					NVS	126870	UIC
	139830	CET	1	DE		Bad Salzhausen Am Be	Bad Salzhausen Am Be				502459N	29	085821E					NVS	139830	UIC
	234327	CET	1	DE		Neukirchen Sparkasse	Neukirchen Sparkasse				493140N	29	113726E					NVS	234327	UIC
	283127	CET	1	DE		Neukirchen Rathaus,	Neukirchen Rathaus,				493138N	29	113724E					NVS	283127	UIC
	282327	CET	1	DE		Sevelen Kreisbahnhof	Sevelen Kreisbahnhof				512959N	29	062634E					NVS	282327	UIC
	321190	CET	1	DE		Göttinger Landstraße	Göttinger Landstra				513612N	29	101229E					NVS	321190	UIC
	325527	CET	1	DE		Bahnhofstraße, Dasse	Bahnhofstraße, Dass				514804N	29	094144E					NVS	325527	UIC
	330790	CET	1	DE		Wildemann Bahnhof, C	Wildemann Bahnhof, C				514926N	29	101649E					NVS	330790	UIC
	332390	CET	1	DE		Verliehausen Kirche,	Verliehausen Kirche,				513649N	29	094007E					NVS	332390	UIC
	340390	CET	1	DE		Kurverwaltung, Claus	Kurverwaltung, Claus				514941N	29	101656E					NVS	340390	UIC
	346790	CET	1	DE		Bahnhof, Zernien	Bahnhof, Zernien				530410N	29	105300E					NVS	346790	UIC
	347616	CET	1	DE		Kreuzeck, Clausthal-	Kreuzeck, Clausthal-				515041N	29	102103E					NVS	347616	UIC
	348000	CET	1	DE		Kronenplatz, Clausth	Kronenplatz, Clausth				514824N	29	102009E					NVS	348000	UIC
	348002	CET	1	DE		Thomas-Merten-Platz,	Thomas-Merten-Platz,				514858N	29	102009E					NVS	348002	UIC
	348014	CET	1	DE		Wolfs Hotel, Clausth	Wolfs Hotel, Clausth				514913N	29	102026E					NVS	348014	UIC
	348058	CET	1	DE		Erzstraße, Clausthal	Erzstraße, Claustha				514818N	29	102031E					NVS	348058	UIC
	348070	CET	1	DE		Erbprinzentanne, Cla	Erbprinzentanne, Cla				514947N	29	102058E					NVS	348070	UIC
	348390	CET	1	DE		Ortsmitte, Zernien	Ortsmitte, Zernien				530357N	29	105315E					NVS	348390	UIC
	350550	CET	1	DE		Scharzfeld Hasenwink	Scharzfeld Hasenwink				513728N	29	102400E					NVS	350550	UIC
	355413	CET	1	DE		Markoldendorf Bevers	Markoldendorf Bevers				514848N	29	094609E					NVS	355413	UIC
	355500	CET	1	DE		Einbeck Mitte ZOB	Einbeck Mitte ZOB				514906N	29	095226E					NVS	355500	UIC
	367510	CET	1	DE		ZOB, Clausthal-Zelle	ZOB, Clausthal-Zelle				514848N	29	102012E					NVS	367510	UIC
	387590	CET	1	DE		Ebertring, Duderstad	Ebertring, Duderstad				513057N	29	101543E					NVS	387590	UIC
	393990	CET	1	DE		Verliehausen Bahnhof	Verliehausen Bahnhof				513659N	29	093934E					NVS	393990	UIC
	395590	CET	1	DE		Rhüden Hildesheimer	Rhüden Hildesheimer				515630N	29	100749E					NVS	395590	UIC
	397527	CET	1	DE		Rathaus, Dassel	Rathaus, Dassel				514804N	29	094115E					NVS	397527	UIC
	399876	CET	1	DE		Busbahnhof, Gersheim	Busbahnhof, Gersheim				490857N	29	071236E					NVS	399876	UIC
	401973	CET	1	DE		Dorfplatz Einöd, Hom	Dorfplatz Einöd, Ho				491609N	29	071911E					NVS	401973	UIC
	402001	CET	1	DE		Bierbacher Str. Schw	Bierbacher Str. Schw				491705N	29	071858E					NVS	402001	UIC
	402137	CET	1	DE		Rathaus, Gersheim	Rathaus, Gersheim				511413N	29	065134E					NVS	402137	UIC
	402157	CET	1	DE		Saargemünder Str. He	Saargemünder Str. H				491150N	29	070151E					NVS	402157	UIC
	8051238	CET	1	DE		Bübingen	Bübingen				491150N	29	070151E					NVS	8051238	UIC
	8052452	CET	1	DE		Güdingen	Güdingen				491150N	29	070151E					NVS	8052452	UIC
	402870	CET	1	DE		Krone, Münchweiler a	Krone, Münchweiler 				491307N	29	074204E					NVS	402870	UIC
	406898	CET	1	DE		Steuerwald Abzw. Bah	Steuerwald Abzw. Bah				494645N	29	074125E					NVS	406898	UIC
	410502	CET	1	DE		Kirche, Ostbevern	Kirche, Ostbevern				520210N	29	075021E					NVS	410502	UIC
	410968	CET	1	DE		Rathaus, Wenden	Rathaus, Wenden				505810N	29	075219E					NVS	410968	UIC
	411966	CET	1	DE		Realschule, Neuenkir	Realschule, Neuenkir				521424N	29	072230E					NVS	411966	UIC
	414985	CET	1	DE		Brücke, Netphen	Brücke, Netphen				505452N	29	080555E					NVS	414985	UIC
	420224	CET	1	DE		Bahnhof, Mögglingen	Bahnhof, Mögglingen				484927N	29	095726E					NVS	420224	UIC
	420285	CET	1	DE		Trochtelfingen Ratha	Trochtelfingen Ratha				485035N	29	102352E					NVS	420285	UIC
	420817	CET	1	DE		Schwabentorbrücke Sü	Schwabentorbrücke S				475926N	29	075115E					NVS	420817	UIC
	808101	CET	1	DE		Schwabentorbrücke No	Schwabentorbrücke N				475926N	29	075115E					NVS	808101	UIC
	421197	CET	1	DE		BF Petershausen/Bück	BF Petershausen/Büc				474032N	29	091018E					NVS	421197	UIC
	421855	CET	1	DE		Rathaus, Diespeck	Rathaus, Diespeck				493542N	29	103736E					NVS	421855	UIC
	423638	CET	1	DE		Hauptbahnhof/Busbahn	Hauptbahnhof/Busbahn				533324N	29	095940E					NVS	423638	UIC
	425682	CET	1	DE		Stadtwaage, Wörth a.	Stadtwaage, Wörth a				494750N	29	090926E					NVS	425682	UIC
	425959	CET	1	DE		Niedernberger Str.,	Niedernberger Str.,				522949N	29	103058E					NVS	425959	UIC
	426095	CET	1	DE		Pollanten Nord, Berc	Pollanten Nord, Berc				490848N	29	112728E					NVS	426095	UIC
	437375	CET	1	DE		Rathaus, Uttenreuth	Rathaus, Uttenreuth				493547N	29	110346E					NVS	437375	UIC
	440715	CET	1	DE		Otto-Kaufmann-Str.,	Otto-Kaufmann-Str.,				505413N	29	073222E					NVS	440715	UIC
	8040133	CET	2	DE		Nümbrecht(Gem)	Nümbrecht(Gem)				505413N	29	073222E					NVS	8040133	UIC
	440837	CET	1	DE		Busbf, Lindlar	Busbf, Lindlar				510109N	29	072246E					NVS	440837	UIC
	8040130	CET	2	DE		Lindlar(Gem)	Lindlar(Gem)				510109N	29	072247E					NVS	8040130	UIC
	441551	CET	1	DE		Bergstr., Niederkass	Bergstr., Niederkass				504859N	29	070208E					NVS	441551	UIC
	8040157	CET	2	DE		Niederkassel(Gem)	Niederkassel(Gem)				504859N	29	070208E					NVS	8040157	UIC
	441658	CET	1	DE		Busbf, Morsbach	Busbf, Morsbach				505152N	29	074340E					NVS	441658	UIC
	8040132	CET	2	DE		Morsbach(Gem)	Morsbach(Gem)				505152N	29	074340E					NVS	8040132	UIC
	441800	CET	1	DE		Beuel Konrad-Adenaue	Beuel Konrad-Adenaue				504422N	29	070704E					NVS	441800	UIC
	8062099	CET	1	DE		Bonn Konrad-Adenauer	Bonn Konrad-Adenauer				504422N	29	070704E					NVS	8062099	UIC
	441898	CET	1	DE		Stadthaus, Lohmar	Stadthaus, Lohmar				505032N	29	071253E					NVS	441898	UIC
	8040153	CET	2	DE		Lohmar(Gem)	Lohmar(Gem)				505032N	29	071253E					NVS	8040153	UIC
	442597	CET	1	DE		Hangelar Mitte, Sank	Hangelar Mitte, Sank				504537N	29	070958E					NVS	442597	UIC
	442655	CET	1	DE		Staffelbach Bahnhof,	Staffelbach Bahnhof,				495644N	29	104454E					NVS	442655	UIC
	465764	CET	1	DE		Staffelbach Ortsmitt	Staffelbach Ortsmitt				495641N	29	104501E					NVS	465764	UIC
	442976	CET	1	DE		Alanus Hochschule, A	Alanus Hochschule, A				504435N	29	070103E					NVS	442976	UIC
