CITY_NAME|GENERIC_LOCATION_CODE|TIME_ZONE|STATUS_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|ADDRESS|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|PROVINCE_STATE_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|10G0003|CET|1|FI||TURKU|TURKU||||602712N|26|221513E|||||FRR|101A001|RDS
|20G0001|CET|1|RU||MOSCOU|MOSCOU||||541156N|26|373442E|||||FRR|201A001|RDS
|20G0002|CET|1|RU||SAINT PETERSBOURG|SAINT PETERSBOURG||||595533N|26|301406E|||||FRR|201A002|RDS
|51G0007|CET|1|PL||WALBRZYCH|WALBRZYCH||||504857N|26|161808E|||||FRR|511A001|RDS
|51G0001|CET|1|PL||GDANSK|GDANSK||||542418N|26|183949E|||||FRR|511A002|RDS
|51G0003|CET|1|PL||KUNOWICE|KUNOWICE||||522030N|26|143820E|||||FRR|511A003|RDS
|51G0008|CET|1|PL||WLOCLAWEK|WLOCLAWEK||||523911N|26|190333E|||||FRR|511A005|RDS
|51G0010|CET|1|PL||ZABRZE|ZABRZE||||501819N|26|184713E|||||FRR|511A006|RDS
|51G0011|CET|1|PL||ZAKOPANE|ZAKOPANE||||491802N|26|195745E|||||FRR|511A007|RDS
|51G0012|CET|1|PL||ZAMOSC|ZAMOSC||||504249N|26|231419E|||||FRR|511A008|RDS
|51G0013|CET|1|PL||ZARY|ZARY||||513805N|26|150813E|||||FRR|511A009|RDS
|51G0014|CET|1|PL||POZNAN|POZNAN||||522404N|26|165441E|||||FRR|511A010|RDS
|52G0002|CET|1|BG||SOFIA|SOFIA||||424246N|26|231914E|||||FRR|521A001|RDS
|53G0002|CET|1|RO||SUCEAVA|SUCEAVA||||473851N|26|261528E|||||FRR|531A001|RDS
|53G0003|CET|1|RO||PLOIESTI|PLOIESTI||||464636N|26|233552E|||||FRR|531A002|RDS
|54G0001|CET|1|CZ||BRECLAV|BRECLAV||||484513N|26|165333E|||||FRR|541A001|RDS
|54G0002|CET|1|CZ||CHOMUTOV|CHOMUTOV||||502723N|26|132358E|||||FRR|541A002|RDS
|54G0004|CET|1|CZ||KARLOVY VARY|KARLOVY VARY||||501407N|26|125159E|||||FRR|541A003|RDS
|54G0005|CET|1|CZ||KUNOVICE|KUNOVICE||||490306N|26|172812E|||||FRR|541A004|RDS
|54G0006|CET|1|CZ||LIPOVA LAZNE|LIPOVA LAZNE||||501341N|26|170752E|||||FRR|541A005|RDS
|54G0007|CET|1|CZ||MARIANSKE L|MARIANSKE L||||495725N|26|124142E|||||FRR|541A006|RDS
|54G0008|CET|1|CZ||NYMBURK|NYMBURK||||501104N|26|150200E|||||FRR|541A007|RDS
|54G0009|CET|1|CZ||OSTRAVA|OSTRAVA||||494916N|26|181234E|||||FRR|541A008|RDS
|54G0012|CET|1|CZ||PRAGUE|PRAGUE||||495944N|26|142150E|||||FRR|541A009|RDS
|54G0013|CET|1|CZ||USTI NAD LABEM|USTI NAD LABEM||||503934N|26|140223E|||||FRR|541A010|RDS
|54G0014|CET|1|CZ||VALASSKE|VALASSKE||||491000N|26|163346E|||||FRR|541A011|RDS
|54G0015|CET|1|CZ||ZATEC|ZATEC||||502011N|26|133318E|||||FRR|541A012|RDS
|5510009|CET|1|HU||BUDAPEST|BUDAPEST||||472828N|26|190554E|||||FRR|551A001|RDS
|56G0001|CET|1|SK||BRATISLAVA|BRATISLAVA||||480930N|26|170621E|||||FRR|561A001|RDS
|70G0008|CET|1|GB||DOUVRES DOVER|DOUVRES DOVER||||510727N|26|011954E|||||FRR|701A001|RDS
|70G0012|CET|1|GB||GATWICK|GATWICK||||512946N|26|000837W|||||FRR|701A003|RDS
|70G0001|CET|1|GB||ASHFORD|ASHFORD||||512611N|26|002805W|||||FRR|701A004|RDS
|70G0003|CET|1|GB||BIRMINGHAM|BIRMINGHAM||||522905N|26|014839W|||||FRR|701A005|RDS
|70G0006|CET|1|GB||BRISTOL|BRISTOL||||513133N|26|023345W|||||FRR|701A006|RDS
|70G0007|CET|1|GB||CARDIFF|CARDIFF||||513030N|26|031343W|||||FRR|701A007|RDS
|70G0010|CET|1|GB||EXETER|EXETER||||504345N|26|033236W|||||FRR|701A008|RDS
|70G0011|CET|1|GB||FOLKESTONE|FOLKESTONE||||510458N|26|011010E|||||FRR|701A009|RDS
|70G0013|CET|1|GB||GLASGOW|GLASGOW||||555308N|26|040446W|||||FRR|701A010|RDS
|70G0015|CET|1|GB||LONDRES|LONDRES||||513448N|26|001419W|||||FRR|701A011|RDS
|70G0020|CET|1|GB||NEWHAVEN|NEWHAVEN||||504725N|26|000316E|||||FRR|701A012|RDS
|70G0009|CET|1|GB||EBBSFLEET|EBBSFLEET||||512634N|26|001915E|||||FRR|701A016|RDS
|70G0025|CET|1|GB||WEYMOUTH|WEYMOUTH||||503655N|26|022715W|||||FRR|701A017|RDS
|70G0028|CET|1|GB||LIVERPOOL|LIVERPOOL||||532636N|26|030021W|||||FRR|701A018|RDS
|70G0029|CET|1|GB||CANTERBURY|CANTERBURY||||511540N|26|010812E|||||FRR|701A019|RDS
|70G0030|CET|1|GB||BIRMINGHAM AEROPORT|BIRMINGHAM AEROPORT||||522709N|26|014358W|||||FRR|701A020|RDS
|71G0010|CET|1|ES||FIGUERAS|FIGUERAS||||433223N|26|070111W|||||FRR|711A001|RDS
|71G0017|CET|1|ES||MANZANARES|MANZANARES||||390021N|26|032213W|||||FRR|711A002|RDS
|71G0018|CET|1|ES||ORENSE|ORENSE||||412329N|26|015953E|||||FRR|711A003|RDS
|71G0001|CET|1|ES||ALGESIRAS|ALGESIRAS||||360750N|26|052616W|||||FRR|711A004|RDS
|71G0004|CET|1|ES||BARCELONE|BARCELONE||||414400N|26|014921E|||||FRR|711A005|RDS
|7174217|CET|1|ES||CANFRANC|CANFRANC||||424505N|26|003052W|||||FRR|711A006|RDS
|71G0012|CET|1|ES||IRUN|IRUN||||432021N|26|014804W|||||FRR|711A009|RDS
|71G0016|CET|1|ES||MADRID|MADRID||||402617N|26|034035W|||||FRR|711A010|RDS
|71G0026|CET|1|ES||SEVILLE|SEVILLE||||402504N|26|034157W|||||FRR|711A011|RDS
|71G0027|CET|1|ES||TARRAGONA|TARRAGONA||||410641N|26|011511E|||||FRR|711A012|RDS
|71G0030|CET|1|ES||VALENCIA DE ALCANTAR|VALENCIA DE ALCANTAR||||392536N|26|071350W|||||FRR|711A013|RDS
