8071526-UIC|80G0571
8012642-UIC|80G0562
8322080-UIC|83G0501
8322009-UIC|83G0459
8017475-UIC|80G0573
8071811-UIC|80G0572
1170920-UIC|11G0003
8322011-UIC|83G0502
8322084-UIC|83G0450
8070571-UIC|80G0590
8079770-UIC|80G0614
8309214-UIC|83G0419
8322017-UIC|83G0479
1150101-UIC|11G0011
1150619-UIC|11G0008
8322034-UIC|83G0465
8071086-UIC|8071086
8322049-UIC|83G0429
8301069-UIC|83G0438
8070576-UIC|80G0595
8322064-UIC|83G0481
8322031-UIC|83G0463
8071743-UIC|80G0563
8322059-UIC|83G0488
8322010-UIC|83G0431
8322036-UIC|83G0464
1170416-UIC|11G0010
8322090-UIC|83G0495
8322014-UIC|83G0498
8071067-UIC|80G0613
8322008-UIC|83G0473
8322082-UIC|83G0485
8322081-UIC|83G0439
8322072-UIC|83G0424
8151847-UIC|81G0096
8071076-UIC|80G0586
8322052-UIC|83G0430
8070435-UIC|80G0596
8322027-UIC|83G0472
8322067-UIC|83G0422
1180302-UIC|11G0005
8322110-UIC|83G0458
8071074-UIC|80G0589
8322087-UIC|83G0490
8322032-UIC|83G0466
8322089-UIC|83G0503
8000820-UIC|80G0582
8322114-UIC|83G0444
8322086-UIC|83G0475
8076130-UIC|80G0606
8079717-UIC|80G0602
8071087-UIC|80G0583
8322073-UIC|83G0451
8322106-UIC|83G0454
8322060-UIC|83G0471
8322061-UIC|83G0445
8070967-UIC|80G0605
8079152-UIC|8079152
8071417-UIC|80G0577
8322092-UIC|83G0441
8322007-UIC|83G0492
8390262-UIC|83G0420
8322003-UIC|83G0489
8322026-UIC|83G0470
8322040-UIC|83G0467
8322039-UIC|83G0496
8322101-UIC|83G0435
8322068-UIC|83G0423
8013446-UIC|80G0581
8322033-UIC|83G0469
8322015-UIC|83G0460
8322111-UIC|83G0453
8071092-UIC|80G0588
8322055-UIC|83G0474
8072865-UIC|80G0574
8071084-UIC|80G0564
8322074-UIC|83G0494
8322083-UIC|83G0476
8322091-UIC|83G0478
8071527-UIC|80G0570
8322070-UIC|83G0433
8322065-UIC|83G0484
8322005-UIC|83G0468
8070434-UIC|80G0592
1150609-UIC|11G0009
8012091-UIC|80G0612
8071702-UIC|80G0598
8098207-UIC|80G0579
8322037-UIC|83G0427
8071073-UIC|80G0585
8071581-UIC|80G0584
8322013-UIC|83G0432
8071055-UIC|80G0603
8322095-UIC|83G0499
8322038-UIC|83G0497
8322057-UIC|83G0440
8322096-UIC|83G0493
8322030-UIC|83G0462
8070328-UIC|80G0591
1170923-UIC|11G0004
8079716-UIC|80G0601
8070979-UIC|8070979
8079759-UIC|80G0615
8322019-UIC|83G0487
8012644-UIC|80G0609
8071312-UIC|80G0576
8322109-UIC|83G0455
8322024-UIC|83G0443
8322045-UIC|83G0425
8302231-UIC|8302231
1120101-UIC|11G0001
8322093-UIC|83G0436
8007132-UIC|80G0580
8071540-UIC|80G0597
8322113-UIC|83G0448
8071078-UIC|80G0600
8322079-UIC|83G0477
8070850-UIC|80G0559
8089221-UIC|80G0566
8071096-UIC|8071096
1160100-UIC|11G0002
8322044-UIC|83G0426
8079777-UIC|80G0604
1170930-UIC|11G0006
8012885-UIC|8012885
8012645-UIC|80G0561
8071085-UIC|80G0565
8071528-UIC|80G0569
8322062-UIC|83G0482
8322051-UIC|83G0428
8070944-UIC|80G0610
8322076-UIC|83G0449
1180301-UIC|11G0007
8070332-UIC|80G0599
8002943-UIC|80G0560
8322000-UIC|83G0483
8071418-UIC|80G0578
8322105-UIC|83G0456
8070503-UIC|80G0611
8322021-UIC|83G0461
8322077-UIC|83G0447
8322050-UIC|83G0434
8071534-UIC|80G0567
8322041-UIC|83G0480
1190100-UIC|11G0012
8322025-UIC|83G0452
8072171-UIC|80G0568
8070990-UIC|8070990
8322018-UIC|83G0486
8012884-UIC|8012884
5595509-UIC|55G0120
8089498-UIC|80G0607
8100378-UIC|81G0095
8071054-UIC|80G0575
8322042-UIC|83G0446
8070523-UIC|80G0594
8322100-UIC|83G0500
8070205-UIC|80G0608
8322099-UIC|83G0442
8322112-UIC|83G0457
8302667-UIC|83G0418
8312335-UIC|83G0417
8322075-UIC|83G0491
8322002-UIC|83G0437
8071093-UIC|80G0587
8070327-UIC|80G0593
8322066-UIC|83G0421
