CODE_VALUE|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|LOCATION_TYPE_CODE|DATA_OWNER|GENERIC_LOCATION_CODE
999GN11|Madrid|Madrid|26|BNE|99T0016
999GN12|Valencia|Valencia|26|BNE|99T0017
999GN13|Sevilla|Sevilla|26|BNE|99T0018
999GN14|Malaga|Malaga|26|BNE|99T0019
101A001|TURKU|TURKU|26|FRR|10G0003
201A001|MOSCOU|MOSCOU|26|FRR|20G0001
201A002|SAINT PETERSBOURG|SAINT PETERSBOURG|26|FRR|20G0002
511A001|WALBRZYCH|WALBRZYCH|26|FRR|51G0007
511A002|GDANSK|GDANSK|26|FRR|51G0001
511A003|KUNOWICE|KUNOWICE|26|FRR|51G0003
511A005|WLOCLAWEK|WLOCLAWEK|26|FRR|51G0008
511A006|ZABRZE|ZABRZE|26|FRR|51G0010
511A007|ZAKOPANE|ZAKOPANE|26|FRR|51G0011
511A008|ZAMOSC|ZAMOSC|26|FRR|51G0012
511A009|ZARY|ZARY|26|FRR|51G0013
511A010|POZNAN|POZNAN|26|FRR|51G0014
521A001|SOFIA|SOFIA|26|FRR|52G0002
531A001|SUCEAVA|SUCEAVA|26|FRR|53G0002
531A002|PLOIESTI|PLOIESTI|26|FRR|53G0003
541A001|BRECLAV|BRECLAV|26|FRR|54G0001
541A002|CHOMUTOV|CHOMUTOV|26|FRR|54G0002
541A003|KARLOVY VARY|KARLOVY VARY|26|FRR|54G0004
541A004|KUNOVICE|KUNOVICE|26|FRR|54G0005
541A005|LIPOVA LAZNE|LIPOVA LAZNE|26|FRR|54G0006
541A006|MARIANSKE L|MARIANSKE L|26|FRR|54G0007
541A007|NYMBURK|NYMBURK|26|FRR|54G0008
541A008|OSTRAVA|OSTRAVA|26|FRR|54G0009
541A009|PRAGUE|PRAGUE|26|FRR|54G0012
541A010|USTI NAD LABEM|USTI NAD LABEM|26|FRR|54G0013
541A011|VALASSKE|VALASSKE|26|FRR|54G0014
541A012|ZATEC|ZATEC|26|FRR|54G0015
551A001|BUDAPEST|BUDAPEST|26|FRR|5510009
561A001|BRATISLAVA|BRATISLAVA|26|FRR|56G0001
701A001|DOUVRES DOVER|DOUVRES DOVER|26|FRR|70G0008
701A003|GATWICK|GATWICK|26|FRR|70G0012
701A004|ASHFORD|ASHFORD|26|FRR|70G0001
701A005|BIRMINGHAM|BIRMINGHAM|26|FRR|70G0003
701A006|BRISTOL|BRISTOL|26|FRR|70G0006
701A007|CARDIFF|CARDIFF|26|FRR|70G0007
701A008|EXETER|EXETER|26|FRR|70G0010
701A009|FOLKESTONE|FOLKESTONE|26|FRR|70G0011
701A010|GLASGOW|GLASGOW|26|FRR|70G0013
701A011|LONDRES|LONDRES|26|FRR|70G0015
701A012|NEWHAVEN|NEWHAVEN|26|FRR|70G0020
701A016|EBBSFLEET|EBBSFLEET|26|FRR|70G0009
701A017|WEYMOUTH|WEYMOUTH|26|FRR|70G0025
701A018|LIVERPOOL|LIVERPOOL|26|FRR|70G0028
701A019|CANTERBURY|CANTERBURY|26|FRR|70G0029
701A020|BIRMINGHAM AEROPORT|BIRMINGHAM AEROPORT|26|FRR|70G0030
711A001|FIGUERAS|FIGUERAS|26|FRR|71G0010
711A002|MANZANARES|MANZANARES|26|FRR|71G0017
711A003|ORENSE|ORENSE|26|FRR|71G0018
711A004|ALGESIRAS|ALGESIRAS|26|FRR|71G0001
711A005|BARCELONE|BARCELONE|26|FRR|71G0004
711A006|CANFRANC|CANFRANC|26|FRR|7174217
711A009|IRUN|IRUN|26|FRR|71G0012
711A010|MADRID|MADRID|26|FRR|71G0016
711A011|SEVILLE|SEVILLE|26|FRR|71G0026
711A012|TARRAGONA|TARRAGONA|26|FRR|71G0027
711A013|VALENCIA DE ALCANTAR|VALENCIA DE ALCANTAR|26|FRR|71G0030
711A014|ANTEQUERA|ANTEQUERA|26|FRR|71G0034
711A015|VALENCE VALENCIA|VALENCE VALENCIA|26|FRR|71G0035
711A016|GUADALAJARA|GUADALAJARA|26|FRR|71G0036
711A017|ST J COMPOSTELLE|ST J COMPOSTELLE|26|FRR|71G0037
711A018|BETANZOS-INFESTA|BETANZOS-INFESTA|26|FRR|71G0038
711A019|SEGOVIE/SEGOVIA|SEGOVIE/SEGOVIA|26|FRR|71G0039
711A020|VIGO|VIGO|26|FRR|71G0040
711A021|PUENTE GENIL|PUENTE GENIL|26|FRR|71G0041
741A001|VANERSBORGS|VANERSBORGS|26|FRR|74G0018
741A002|STOCKHOLM AEROPORT|STOCKHOLM AEROPORT|26|FRR|74G0020
761A001|OSLO|OSLO|26|FRR|76G0011
791A001|LJUTOMER|LJUTOMER|26|FRR|79G0001
801A001|FRANCFORT|FRANCFORT|26|FRR|80G0028
801A002|COLOGNE|COLOGNE|26|FRR|80G0017
801A003|MUNICH|MUNICH|26|FRR|80G0050
801A004|DUESSELDORF|DUESSELDORF|26|FRR|8008094
801A005|DUISBURG|DUISBURG|26|FRR|80G0024
801A006|ESSEN|ESSEN|26|FRR|80G0026
801A007|AIX LA CHAPELLE|AIX LA CHAPELLE|26|FRR|80G0005
801A008|BOCHUM|BOCHUM|26|FRR|80G0013
801A009|MANNHEIM|MANNHEIM|26|FRR|8014008
801A010|WUPPERTAL|WUPPERTAL|26|FRR|80G0074
801A011|DRESDE|DRESDE|26|FRR|80G0022
801A012|BERLIN|BERLIN|26|FRR|80G0010
801A013|BITBURG|BITBURG|26|FRR|80G0012
801A014|BREMERHAVEN|BREMERHAVEN|26|FRR|80G0015
801A015|BONN|BONN|26|FRR|80G0014
801A016|ASCHAFFENBURG|ASCHAFFENBURG|26|FRR|80G0006
801A017|AUGSBURG|AUGSBURG|26|FRR|80G0007
801A018|BIELEFELD|BIELEFELD|26|FRR|80G0011
801A019|DORTMUND|DORTMUND|26|FRR|80G0021
801A020|HILDESHEIM|HILDESHEIM|26|FRR|80G0037
801A021|KAISERSLAUTERN|KAISERSLAUTERN|26|FRR|80G0038
801A022|NUREMBERG|NUREMBERG|26|FRR|80G0054
801A023|OBERHAUSEN|OBERHAUSEN|26|FRR|80G0055
801A024|PASSAU|PASSAU|26|FRR|80G0057
801A025|REGENSBURG|REGENSBURG|26|FRR|80G0062
801A026|FREUDENSTADT|FREUDENSTADT|26|FRR|80G0029
801A027|HANOVRE|HANOVRE|26|FRR|80G0033
801A028|HAMBOURG|HAMBOURG|26|FRR|80G0032
801A029|HEIDELBERG|HEIDELBERG|26|FRR|80G0034
801A030|HERSBRUCK|HERSBRUCK|26|FRR|80G0036
801A031|KASSEL|KASSEL|26|FRR|80G0039
801A032|KEHL|KEHL|26|FRR|80G0040
801A033|KREFELD|KREFELD|26|FRR|80G0041
801A034|KARLSRUHE|KARLSRUHE|26|FRR|8014228
801A035|CONSTANCE|CONSTANCE|26|FRR|80G0020
801A036|LIMBURG|LIMBURG|26|FRR|80G0044
801A037|LUBECK|LUBECK|26|FRR|80G0045
801A038|LEVERKUSEN|LEVERKUSEN|26|FRR|8001093
801A039|MITTENWALD|MITTENWALD|26|FRR|80G0048
801A040|FRIBOURG EN BRISGAU|FRIBOURG EN BRISGAU|26|FRR|80G0030
801A041|PFRONTEN|PFRONTEN|26|FRR|80G0059
801A042|PFORZHEIM|PFORZHEIM|26|FRR|80G0058
801A043|PUTTGARDEN|PUTTGARDEN|26|FRR|80G0061
801A044|ULM|ULM|26|FRR|80G0070
801A045|WUERZBURG|WUERZBURG|26|FRR|80G0073
801A046|BAD REICHENHALL|BAD REICHENHALL|26|FRR|80G0008
801A047|REMSCHEID|REMSCHEID|26|FRR|80G0063
801A048|SALZGITTER|SALZGITTER|26|FRR|8033859
801A049|SOLINGEN|SOLINGEN|26|FRR|80G0066
