CODE_VALUE	DEFAULT_LONG_NAME	LOCATION_TYPE_CODE	LATITUDE	LONGITUDE	GENERIC_LOCATION_CODE	DEFAULT_LONG_NAME	LOCATION_TYPE_CODE		COUNTRY_CODE	STATUS_CODE
8504882	La Joux FR, centre	29	463746N	065619E	8504882	La Joux FR, centre	29		CH	1
8504883	Vuisternens-dt-Romont, Poyet	29	463823N	065629E	8504883	Vuisternens-dt-Romo	29		CH	1
8504884	Epagny, village	29	463525N	070502E	8504884	Epagny, village	29		CH	1
8504886	Donatyre, poste	29	465231N	070330E	8504886	Donatyre, poste	29		CH	1
8504887	St-Aubin FR, eglise	29	465324N	065848E	8504887	St-Aubin FR, eglise	29		CH	1
8504888	Berg FR, Restaurant	29	465047N	071359E	8504888	Berg FR, Restaurant	29		CH	1
8504879	Drognens, caserne	29	464035N	065342E	8504879	Drognens, caserne	29		CH	1
8504880	Moleson-sur-Gruyeres	26	463340N	070218E	8504880	Moleson-sur-Gruyere	26		CH	1
8504881	Fribourg, gare	26	464813N	070900E	85G0761	Fribourg, gare	26		CH	1
8504896	Estevenens, dessus college	29	464009N	065747E	8504896	Estevenens, dessus 	29		CH	1
8504897	Estevenens, poste	29	464002N	065656E	8504897	Estevenens, poste	29		CH	1
8504898	Grangettes-pres-Romont, village	29	464044N	065742E	8504898	Grangettes-pres-Rom	29		CH	1
8504899	Siviriez, village	26	463930N	065237E	8591335	Siviriez, village	26		CH	1
8504900	Courtion, bif.	29	465121N	070346E	8504900	Courtion, bif.	29		CH	1
8504901	Nuvilly, poste	29	464658N	064957E	8504901	Nuvilly, poste	29		CH	1
8504902	Vesin, village	29	464829N	065217E	8504902	Vesin, village	29		CH	1
8504889	Lanthen, Abzw.	29	465103N	071533E	8504889	Lanthen, Abzw.	29		CH	1
8504890	Schmitten FR, Dorf	29	465120N	071455E	8504890	Schmitten FR, Dorf	29		CH	1
8504866	Orsonnens, Cafe	29	464259N	065943E	8504866	Orsonnens, Cafe	29		CH	1
8504867	Les Paccots, Ermitage	29	463114N	065659E	85G0759	Les Paccots, Ermita	29		CH	1
8504868	Plaffeien, Dorf	29	464429N	071710E	8504868	Plaffeien, Dorf	29		CH	1
8509781	Grabs, Post	29	471056N	092639E	8509781	Grabs, Post	29		CH	1
8509782	Flumserberg Bergheim,alte Post	29	470549N	091826E	8509782	Flumserberg Berghei	29		CH	1
8509783	Hinterrhein, Dorf	29	463153N	091157E	8509783	Hinterrhein, Dorf	29		CH	1
8509784	Ferrera,Innerferrera	29	463119N	092635E	8509784	Ferrera,Innerferrer	29		CH	1
8504891	Porsel, village	29	463601N	065157E	8504891	Porsel, village	29		CH	1
