01G0001|BERLIN|BERLIN|29|CET|485038N|022224E|||||DE|||||1234567|1|AMA
01G0003|DRESDEN|DRESDEN|29|CET|054564N|654640E|||||DE|||||1234567|1|AMA
01G0004|LEVERKUSEN|LEVERKUSEN|29|CET|065445N|654640E||||||DE|||||1234567|1|AMA
01G0005|MUNICH|MUNICH|29|CET|065445N|654640E||||||DE|||||1234567|1|AMA
0100006|DUSSELDORF|DUSSELDORF|29|CET|065445N|654640E||||||DE|||||1234567|1|AMA
0100007|BREMEN HBF|BREMEN HBF|29|CET|065445N|654640E||||||DE|||||1234567|1|AMA
8101363|LOICH|LOICH|29|CET|480043N|152331E|||||AT|||||1234567|1|AMA
1100588|Malsburg, Vogelbacherstr.|Malsburg, Vogelbach|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100589|Kandern, Mšbelfabrik Vollmer|Kandern, Mšbelfabri|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100590|Kandern, Spinnerei|Kandern, Spinnerei|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100591|Kandern, Waldeck|Kandern, Waldeck|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100592|Kandern, Bšsigerstr.|Kandern, Bšsigerstr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100593|Kandern, Riedlingen Erlenbod.|Kandern, Riedlingen|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100594|Schliengen, Liel Denkmal|Schliengen, Liel De|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100595|Hertingen, Hauptstr.|Hertingen, Hauptstr|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100596|Hertingen, Kinderhaus Engels|Hertingen, Kinderha|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100597|…tlingen, Dorfstr.|…tlingen, Dorfstr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100598|Lšrrach, MaienbŸhl|Lšrrach, MaienbŸhl|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100599|Lšrrach, Steinenweg|Lšrrach, Steinenweg|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
1100600|Lšrrach, Hauptstr.|Lšrrach, Hauptstr.|29|CET|000000N|000000E|||||N/A|||||1234567|1|AMA
