DEFAULT_LONG_NAME,GENERIC_LOCATION_CODE,LOCATION_TYPE_CODE,COUNTRY_CODE
Vaihingen(Enz),0940893,29,DE
Bruzgi(Gr),2121513,29,BY
Brest(Gr),2121514,29,BY
Jagodin(Gr),2235150,29,UA
Chop(Gr),2238030,29,UA
Sopron,4302725,29,HU
Pamhagen(Gr),4306098,17,AT
Neusiedl am See,4307989,29,AT
Weiden am See,4333021,29,AT
Gols,4333022,29,AT
Mönchhof-Halbturn,4333024,29,AT
St. Andrä am Zicksee,4333026,29,AT
Wallern im Burgenland,4333027,29,AT
Müllendorf,4333213,29,AT
Drassburg,4333215,29,AT
Szczecin Gumieńce,5100020,29,PL
Szczecin,5100027,33,PL
Gryfino,5100085,29,PL
Międzyzdroje,5100102,29,PL
Szczecin Dšbie,5100110,29,PL
Goleniów,5100140,29,PL
Wysoka Kamieńska,5100156,29,PL
Kamień Pomorski,5100165,29,PL
Port Lot Szczecin,5100193,29,PL
Płoty,5100195,29,PL
Trzebiatów,5100214,29,PL
Stargard Szcz.,5100220,29,PL
Szczecinek,5100300,29,PL
Złocieniec,5100330,29,PL
Drawsko Pomorskie,5100333,29,PL
Runowo Pomorskie,5100346,29,PL
Łobez,5100350,29,PL
widwin,5100363,29,PL
Białogard,5100390,29,PL
Kołobrzeg,5100410,29,PL
Koszalin,5100440,29,PL
Słupsk,5100470,29,PL
Sławno,5100510,29,PL
Lębork,5100525,29,PL
Gdynia Gł.,5100590,29,PL
Sopot,5100594,29,PL
Reda,5100610,29,PL
Wejherowo,5100630,29,PL
Jurata,5100675,29,PL
Jastarnia,5100677,29,PL
Hel,5100679,29,PL
Tczew,5100711,29,PL
Gdańsk Gł.,5100750,29,PL
Malbork,5100787,29,PL
Elblšg,5100815,29,PL
Starogard Gdański,5100860,29,PL
Olsztyn Gł.,5100920,29,PL
Gutkowo,5100951,29,PL
Czerwonka,5100970,29,PL
Korsze,5101000,29,PL
Kętrzyn,5101040,29,PL
Szczytno,5101060,29,PL
Moršg,5101090,29,PL
Pasłęk,5101093,29,PL
Bogaczewo,5101094,29,PL
Małdyty,5101098,29,PL
Braniewo,5101125,17,PL
Braniewo(Gr),5101126,17,PL
Orneta,5101134,29,PL
Mynary,5101144,29,PL
Ełk,5101180,29,PL
Grajewo,5101225,29,PL
Orzysz,5101247,29,PL
Giżycko,5101260,29,PL
Suwałki,5101280,29,PL
Trakiszki,5101287,29,PL
Mockava(Gr),5101288,29,PL
Augustów,5101296,29,PL
Kostrzyn,5101300,29,PL
Kostrzyn(Gr),5101303,17,PL
Chojna,5101333,29,PL
Gorzów Wlkp.,5101390,29,PL
Witnica,5101404,29,PL
Strzelce Kraj.Wsch.,5101430,29,PL
Piła Gł.,5101440,29,PL
Trzcianka,5101454,29,PL
Kalisz Pomorski,5101500,29,PL
Człuchów,5101559,29,PL
Chojnice,5101560,29,PL
Rogono Wlkp.,5101613,29,PL
Chodzież,5101618,29,PL
Wierzchucin,5101659,29,PL
Laskowice Pomorskie,5101720,29,PL
Kocierzyna,5101750,29,PL
Nakło n/Noteciš,5101820,29,PL
Bydgoszcz Gł.,5101840,29,PL
Inowrocław,5101870,29,PL
Zduńska Wola,5101943,29,PL
Sieradz,5101948,29,PL
Toruń Gł.,5101970,29,PL
Toruń Miasto,5101979,29,PL
Solec Kujawski,5101984,29,PL
Toruń Wsch.,5101990,29,PL
Grudzišdz,5102050,29,PL
Jabłonowo Pom.,5102090,29,PL
Biskupiec Reszelski,5102107,29,PL
Aleksandrów Kujawski,5102150,29,PL
Ciechocinek,5102155,29,PL
Włocławek,5102160,29,PL
Iława Gł.,5102180,29,PL
Ostróda,5102200,29,PL
Działdowo,5102244,29,PL
Prabuty,5102290,29,PL
Mikołajki,5102304,29,PL
Kwidzyn,5102310,29,PL
Ostrołęka,5102330,29,PL
Białystok,5102400,29,PL
Knyszyn,5102409,29,PL
Mońki,5102413,29,PL
Osowiec,5102415,29,PL
Czarna Biaoost.,5102423,29,PL
Bielsk Podlaski,5102443,29,PL
Łapy,5102453,29,PL
Szepietowo,5102463,29,PL
Czyżew,5102473,29,PL
Szulborze Koty,5102474,29,PL
Sokółka,5102480,29,PL
Kunica Białostocka,5102500,29,PL
Czeremcha,5102520,17,PL
Czeremcha(Gr),5102521,17,PL
Witowo,5102527,29,PL
Hajnówka,5102540,29,PL
Rzepin,5102580,29,PL
Kunowice,5102592,29,PL
Torzym,5102598,29,PL
Zbšszynek,5102610,29,PL
