0100278 | Limburg a.d. Lahn Süd (ICE-Bahnhof)\n
0102932 | Flughafen Terminal 1, Frankfurt a.M.\n
0116176 | ZOB Süd, Limburg a.d. Lahn\n
0122662 | Busbahnhof, Bad Orb\n
0126508 | Busbahnhof, Wächtersbach\n
0313339 | Bruckhäusl Zentrum, Österreich\n
0360013 | Hauptbahnhof ZOB, Freiburg im Breisgau\n
0366658 | Bahnhof, Bötzingen\n
0372192 | Bahnhof, Singen (Hohentwiel)\n
0420888 | Bahnhof Landesgartenschau, Singen (Hohentwiel)\n
0490138 | Bahnhof, Leutkirch im Allgäu\n
0492589 | Bahnhof, Langenau (Württ)\n
0496506 | Kaiserstuhleck, Eichstetten am Kaiserstuhl\n
0496560 | Jugendhilfezentrum St. Anton, Riegel am Kaiserstuh\n
0499536 | Bahnhof, Efringen-Kirchen\n
0499573 | Rathaus, Weil am Rhein\n
0499622 | Teninger Straße, Bahlingen am Kaiserstuhl\n
0499623 | Bahnhof, Malterdingen\n
0499630 | Bahnhof, Endingen am Kaiserstuhl\n
0499643 | Staufen im Breisgau Süd/Wolfacker\n
0500109 | Bahnhof, Herbolzheim\n
0500199 | Bahnhof, Schallstadt\n
0500292 | ZOB, Denzlingen\n
0500900 | Bahnhof, Rottweil\n
0501448 | Bahnhof, Mühlheim an der Donau\n
0501455 | ZOB, Radolfzell am Bodensee\n
0501460 | Bahnhof, Tuttlingen\n
0502072 | Basel Badischer Bahnhof, Schweiz\n
0502364 | Waldshut Busbahnhof, Waldshut-Tiengen\n
0502404 | ehemalige Papierfabrik, Albbruck\n
0502412 | Ostbahnhof, Laufenburg (Baden)\n
0502418 | Bahnhof, Murg\n
0502943 | Seebrugg Bahnhof, Schluchsee\n
0503153 | Bärental Dreispitz, Feldberg (Schwarzwald)\n
0503183 | Bahnhof, Schluchsee\n
0503189 | Titisee Bahnhof, Titisee-Neustadt\n
0504672 | Untermünstertal Bahnhof, Münstertal (Schwarzwald)\n
0507218 | Friesenheim Ammoniakstraße, Ludwigshafen am Rhein\n
0507619 | Käfertal Im Rott, Mannheim\n
0507622 | Käfertal Mannheimer Straße, Mannheim\n
0508123 | Exerzierplatz, Mannheim\n
0508160 | Marktplatz, Mannheim\n
0509612 | Zentgrafenstraße, Schriesheim\n
0510151 | Eissporthalle, Viernheim\n
0510171 | Viernheim Ost\n
0510445 | Bahnhof, Weinheim\n
0510550 | Wieblingen Taubenfeld, Heidelberg\n
0511045 | Käfertal Boveristraße, Mannheim\n
0513277 | Dossenheim Nord\n
0518109 | Friesenheim Rottstückerweg, Ludwigshafen am Rhein\n
0518168 | Hauptbahnhof, Heidelberg\n
0518363 | Rosengarten, Mannheim\n
0518368 | Tattersall, Mannheim\n
0518530 | Seckenheim Rathaus, Mannheim\n
0518551 | Kapellenberg, Viernheim\n
0518553 | Tivoli (RNZ), Viernheim\n
0555199 | Tübinger Straße, Dettenhausen\n
0555730 | Bahnhof, Böblingen\n
0555928 | Maichingen Nord, Sindelfingen\n
0557824 | Münchingen Bahnhof, Korntal-Münchingen\n
0561013 | ZOB, Sindelfingen\n
0561018 | Schwieberdingen Mitte\n
0561082 | Plochinger Straße, Nürtingen\n
0561341 | Bahnhof, Holzgerlingen\n
0561426 | Dettenhausen\n
0561510 | Bahnhof, Backnang\n
0570973 | Bahnhof, Herrenberg\n
0601659 | ZOB/Bahnhof, Leer (Ostfriesland)\n
0705770 | Braderup, Wenningstedt (Sylt)\n
0720557 | Forchheim Hallenbad, Rheinstetten\n
0720788 | Spinnerei, Ettlingen\n
0721068 | Hagsfeld Bahnhof, Karlsruhe\n
0721245 | Blankenloch Kirche, Stutensee\n
0721347 | Ebertstraße, Karlsruhe\n
0721358 | Europapl./PostGalerie (Kaiserstr), Karlsruhe\n
0721394 | Kronenplatz (Kaiserstr.), Karlsruhe\n
0721465 | Werderstraße, Karlsruhe\n
0721818 | Mörsch Römerstraße, Rheinstetten\n
0722325 | Rüppurr Ostendorfplatz, Karlsruhe\n
0723622 | Mathystraße, Karlsruhe\n
0723632 | Tullastraße/Verkehrsbetriebe, Karlsruhe\n
0723656 | Bahnhof, Rastatt\n
0724002 | Durlach Hubstraße, Karlsruhe\n
0724016 | Stadtbahnhof, Ettlingen\n
0750861 | Bahnhof/ZOB, Hechingen\n
0751399 | Bahnhof, Nürtingen\n
0751526 | Pfäffingen Bahnhof, Ammerbuch\n
0800788 | Bahnhof, Munderkingen\n
0801345 | ZOB Ost, Ulm\n
0801736 | Bahnhof, Sigmaringen\n
0815183 | Hauptbahnhof, Freudenstadt\n
0815184 | Stadtbahnhof, Freudenstadt\n
0828162 | Bahnhof, Bondorf\n
0828720 | Bahnhof, Weil der Stadt\n
0833598 | Hessental Bahnhof, Schwäbisch Hall\n
0871613 | Bahnhof ZOB, Memmingen\n
0882028 | Bahnhof, Ringsheim\n
0882311 | Bahnhof, Lahr (Schwarzwald)\n
0882605 | Orschweier Bahnhof, Mahlberg\n
0882997 | ZOB, Offenburg\n
0895167 | Klein Borstel, Hamburg\n
0940370 | ZOB/Hauptbahnhof, Pforzheim\n
0940407 | Bahnhof, Leonberg (Württ)\n
0990083 | Hauptbahnhof, Lindau (Bodensee)\n
8081962 | Lindau Hbf (Bahnhofplatz)\n
8100394 | Wien Hbf (Tiefgeschoß Straßenbahn)\n
8101850 | Wien Schedifkaplatz (Lokalbahn)\n
8101967 | Feldkirch Landgericht\n
8101997 | Wien Schwedenplatz (U4)\n
8101998 | Wien Stephansplatz (U3)\n
8101999 | Wien Landstraße (U4)\n
8102000 | Wien Karlsplatz (U2)\n
8102001 | Wien Karlsplatz (U4)\n
8102003 | Wien Volkstheater (U3)\n
8102005 | Wien Westbahnhof (U6)\n
8102008 | Wien St. Marx (Landstraßer Hauptstraße)\n
8102032 | Dornbirn Bahnhof\n
8102033 | Dornbirn Landessportzentrum\n
8102037 | Dornbirn Steggasse\n
8102040 | Dornbirn, Schoren Bahnhof\n
8103546 | Wien Dörfelstraße (Steinackergasse)\n
8105724 | Lustenau Philipp-Krapf-Straße\n
8110866 | Linz/Donau Mozartkreuzung\n
8113092 | Nauders Mühle\n
8117530 | Wien Westbahnhof (Gerstnerstraße)\n
8122852 | Linz/Donau Urfahr Bahnhof (Kaarstraße)\n
8152486 | Nauders Bergkastelbahn\n
8170044 | Wien Spittelau (U4)\n
8170082 | Wien Seestadt (U2)\n
8170815 | Wien Kagraner Platz (U1)\n
8171930 | Lustenau Flurstraße\n
8171931 | Lustenau, Pestalozziweg\n
8171939 | Lustenau Holzstraße\n
8172070 | Stockerau Bahnhof (Vorplatz)\n
8172262 | Lochau Bahnhof (Vorplatz)\n
8173310 | Hohenems Gutenbergstraße\n
8175193 | Gaflenz Pettendorf\n
8175948 | Linz/Donau Hauptplatz\n
8179848 | Dornbirn Messekreuzung\n
8180665 | Linz/Donau Bürgerstraße\n
8183231 | Linz/Donau Hbf (Tiefgeschoß Straßenbahn)\n
8500816 | Weggis, Seilbahn\n
8500903 | S-chanf Marathon\n
8502280 | Zug(CH),Bahnhofplatz\n
8502781 | Zug, Metalli/Bahnhof\n
8504353 | Biel/Bienne Magglingenb.(Funi)\n
8505484 | Cevio, Centro\n
8505486 | Bignasco, Posta\n
8508323 | Sarnen Nord\n
8518924 | Neuhausen Rheinfall\n
8530462 | Lugano Stazione TPL\n
8530827 | Muralto Belvedere\n
8530828 | Orselina Santuario\n
8573740 | Büsingen, Stemmer\n
8575110 | Disentis/Muster, Pendicularas\n
8575111 | Disentis/Muster, Acletta\n
8578030 | Wangen bei Olten, Dorf\n
8578924 | Losone, Ponte Maggia\n
8580229 | Malbun, Bergbahnen\n
8581335 | Blatten b. Naters, Soll\n
8582762 | Reinach AG, Saalbau\n
8583435 | Zinal, village de vacances\n
8583439 | Mals/Malles, Abzw. Schleis\n
8583640 | Savognin, Bursa\n
8583649 | Savognin, Bergbahnen\n
8583761 | Oberglatt ZH, Pistenende\n
8583772 | Rafz, Friedhof\n
8583801 | Martigny, Bassin du Manoir\n
8583805 | Bonstetten, Dorfstrasse\n
8583806 | Guarda, Bos-cha\n
8583807 | Sent, Plaz\n
8583811 | Stein AG, Bahnhofstrasse\n
8583828 | Churwalden, Bergbahnen\n
8583863 | Verbier,Les Colonnes\n
8583869 | Russikon, Dorf\n
8583870 | Birmensdorf ZH, Bahnhof Süd\n
