ADDRESS	TIME_ZONE	CITY_NAME	STATUS_CODE	PROVINCE_STATE_CODE	COUNTRY_CODE	DAYS_OF_WEEK_OF_OPERATION	DAFAULT_LONG_NAME	DAFAULT_SHORT_NAME	EMAIL	FAX_NUMBER	GENERIC_LOCATION_CODE	LATITUDE	LOCATION_TYPE	LONGITUDE	MINIMUM_CONNECTION_TIME	PHONE_NUMBER	POSTAL_CODE	DATA_OWNER	CODE_VALUE	CODE_CONTEXT
	CET		1		DE		Berlin-Schöneweide (	Berlin-Schöneweide 			8089168	522717N	29	133032E				EVA	8089168	UIC
	CET		1		DE		Neckarsulm Mitte	Neckarsulm Mitte			8004232	491136N	29	091322E				EVA	8004232	UIC
	CET		1		DE		Lübeck Hochschulsta	Lübeck Hochschulsta			8003785	534951N	29	104120E				EVA	8003785	UIC
	CET		1		DE		Bredstedt Bahnhof	Bredstedt Bahnhof			8071139	543716N	29	085811E				EVA	8071139	UIC
	CET		1		DE		Rhöndorf Bahnhof	Rhöndorf Bahnhof			8075074	503926N	29	071235E				EVA	8075074	UIC
	CET		1		DE		Siegburg Bahnhof	Siegburg Bahnhof			8075556	504736N	29	071211E				EVA	8075556	UIC
	CET		1		AT		Stainach-Irdning Bah	Stainach-Irdning Bah			8172320	473146N	29	140623E				EVA	8172320	UIC
	CET		1		DE		Heilbronn Finanzamt	Heilbronn Finanzamt			8070791	490825N	29	091406E				EVA	8070791	UIC
	CET		1		DE		Heilbronn Pfühlpark	Heilbronn Pfühlpark			8070793	490823N	29	091428E				EVA	8070793	UIC
	CET		1		DE		Stolberg(Rheinl)Hbf	Stolberg(Rheinl)Hbf			80G0424	504741N	29	061306E				EVA	8098349	UIC
	CET		2		DE		Ittersbach Bf	Ittersbach Bf			8007014	485208N	29	083039E				EVA	8007014	UIC
	CET		1		DE		Bonn-Vilich-Rheindor	Bonn-Vilich-Rheindor			8070748	504449N	29	070730E				EVA	8070748	UIC
	CET		1		DE		Hangelar Ost	Hangelar Ost			8070766	504612N	29	071049E				EVA	8070766	UIC
	CET		2		CH		Zug	Zug			8588622	471025N	29	083052E				EVA	8502204	UIC
	CET		1		CH		Grimentz, Carovilla	Grimentz, Carovilla			8581381	461049N	29	073435E				EVA	8589302	UIC
	CET		1		CH		Olten	Olten			5310366	472107N	29	075427E				EVA	8500218	UIC
	CET		1		AT		Salzburg Hbf (Forum)	Salzburg Hbf (Forum)			8171028	474850N	29	130239E				EVA	8171028	UIC
	CET		1		AT		Waidhofen/Ybbs Bahnh	Waidhofen/Ybbs Bahnh			8198445	475805N	29	144555E				EVA	8198445	UIC
	CET		1		IT		Como S. Giovanni	Como S. Giovanni			83G0002	454823N	29	090424E				EVA	8301307	UIC
	CET		1		CH		Thun	Thun			8507100	464517N	29	073746E				EVA	8507100	UIC
	CET		1		CH		Crans-s.-S., Le Pas	Crans-s.-S., Le Pas			8570818	461827N	29	072734E				EVA	8594472	UIC
	CET		1		DE		Rostock Albrecht-Kos	Rostock Albrecht-Kos			8070961	540442N	29	120754E				EVA	8070961	UIC
	CET		1		CH		Luzern	Luzern			8505000	470300N	29	081837E				EVA	8505000	UIC
	CET		1		AT		Wien Stadlau (U2)	Wien Stadlau (U2)			8170925	481347N	29	162711E				EVA	8170925	UIC
	CET		1		AT		Bischofshofen Bahnho	Bischofshofen Bahnho			8174451	472502N	29	131309E				EVA	8174451	UIC
	CET		1		DE		Karlsruhe Mühlburger	Karlsruhe Mühlburge			8079144	490037N	29	082312E				EVA	8079144	UIC
	CET		1		DE		Traunstein Klinikum	Traunstein Klinikum			8005873	475231N	29	123800E				EVA	8005873	UIC
	CET		1		DE		Berlin Ostkreuz	Berlin Ostkreuz			80G0181	523011N	29	132810E				EVA	8011162	UIC
	CET		1		DE		München Flughafen Te	München Flughafen T			8070786	482113N	29	114709E				EVA	8070786	UIC
	CET		1		CH		Lutry CGN	Lutry CGN			8501318	463004N	29	064102E				EVA	8578393	UIC
	CET		1		CH		Schafhausen i.E.	Schafhausen i.E.			8508264	465939N	29	073926E				EVA	8557042	UIC
	CET		1		CH		Sion	Sion			8579435	461339N	29	072133E				EVA	8501506	UIC
	CET		2		AT		Wolfshuette	Wolfshuette			81G0309	480310N	29	134053E				EVA	8101902	UIC
	CET		2		AT		Bergern	Bergern			81G0310	480603N	29	133752E				EVA	8101904	UIC
