ADDRESS|TIME_ZONE|CITY_NAME|STATUS_CODE|PROVINCE_STATE_CODE|COUNTRY_CODE|DAYS_OF_WEEK_OF_OPERATION|DEFAULT_LONG_NAME|DEFAULT_SHORT_NAME|EMAIL|FAX_NUMBER|GENERIC_LOCATION_CODE|LATITUDE|LOCATION_TYPE_CODE|LONGITUDE|MINIMUM_CONNECTION_TIME|PHONE_NUMBER|POSTAL_CODE|DATA_OWNER|CODE_VALUE|CODE_CONTEXT
|CET||||||Klagenfurt|Klagenfurt|||||26||||||1120101|UIC
|CET||||||Linz|Linz|||||26||||||1140101|UIC
|CET||||||Salzburg|Salzburg|||||26||||||1150101|UIC
|CET||||||Leogang|Leogang|||||26||||||1150609|UIC
|CET||||||Saalfelden|Saalfelden|||||26||||||1150619|UIC
|CET||||||Graz|Graz|||||26||||||1160100|UIC
|CET||||||Innsbruck|Innsbruck|||||26||||||1170101|UIC
|CET||||||ST.JOHANN IN TIROL|ST.JOHANN IN TIROL|||||26||||||1170416|UIC
|CET||||||Mayrhofen|Mayrhofen|||||26||||||1170920|UIC
|CET||||||Ried im Zillertal|Ried im Zillertal|||||26||||||1170923|UIC
|CET||||||STRASS IM ZILLERTAL|STRASS IM ZILLERTAL|||||26||||||1170930|UIC
|CET||||||Bregenz|Bregenz|||||26||||||1180207|UIC
|CET||||||Dornbirn|Dornbirn|||||26||||||1180301|UIC
|CET||||||Hohenems|Hohenems|||||26||||||1180302|UIC
|CET||||||Vienna|Vienna|||||26||||||1190100|UIC
|CET||||||Allendorf(Eder) Bf|Allendorf(Eder) Bf|||||29||||||8000493|UIC
|CET||||||Auerbach(b Mosbach|Auerbach(b Mosbach|||||||||||8000649|UIC
|CET||||||Battenberg Bf|Battenberg Bf|||||29||||||8000819|UIC
|CET||||||Battenfeld|Battenfeld|||||29||||||8000820|UIC
|CET||||||Bonn UN Campus|Bonn UN Campus|||||29||||||8001091|UIC
|CET||||||Breitscheidt(Altenkirchen|Breitscheidt(Altenkirchen|||||||||||8001153|UIC
|CET||||||Grub(Oberpf)|Grub(Oberpf)|||||29||||||8002436|UIC
|CET||||||Kaiserslautern-Hohenecken|Kaiserslautern-Hohenecken|||||29||||||8002943|UIC
|CET||||||Kiel-Ellerbek|Kiel-Ellerbek|||||29||||||8003259|UIC
|CET||||||Kiel-Oppendorf|Kiel-Oppendorf|||||29||||||8003260|UIC
